text,label
"an ambitious , serious film that manages to do virtually everything wrong ; sitting through it is something akin to an act of cinematic penance .",2
"the movie is concocted and carried out by folks worthy of scorn , and the nicest thing i can say is that i ca n't remember a single name responsible for it .",0
"nicole holofcener 's lovely and amazing , from her own screenplay , jumps to the head of the class of women 's films that manage to avoid the ghetto of sentimental chick-flicks by treating female follies with a satirical style .",4
nolan proves that he can cross swords with the best of them and helm a more traditionally plotted popcorn thriller while surrendering little of his intellectual rigor or creative composure .,4
what 's hard to understand is why anybody picked it up .,0
more of a career curio than a major work .,2
`` the turntable is now outselling the electric guitar ... '',2
"unintelligible , poorly acted , brain-slappingly bad , harvard man is ludicrous enough that it could become a cult classic .",2
"hip-hop has a history , and it 's a metaphor for this love story .",2
"oops , she 's really done it this time .",2
"this is not the undisputed worst boxing movie ever , but it 's certainly not a champion - the big loser is the audience .",0
poor ben bratt could n't find stardom if mapquest emailed him point-to-point driving directions .,0
"if you ignore the cliches and concentrate on city by the sea 's interpersonal drama , it ai n't half-bad .",2
"when -lrb- de palma 's -rrb- bad , he 's really bad , and femme fatale ranks with the worst he has done .",0
viewing this underdramatized but overstated film is like watching a transcript of a therapy session brought to humdrum life by some freudian puppet .,2
"compelling as it is exotic , fast runner has a plot that rivals shakespeare for intrigue , treachery and murder .",4
"leading a double life in an american film only comes to no good , but not here .",2
"the movie has a script -lrb- by paul pender -rrb- made of wood , and it 's relentlessly folksy , a procession of stagy set pieces stacked with binary oppositions .",0
` rare birds ' tries to force its quirkiness upon the audience .,2
it gets bogged down by hit-and-miss topical humour before getting to the truly good stuff .,2
rashomon-for-dipsticks tale .,0
"as befits its title , this pg-13-rated piffle is ultimately as threatening as the snuggle fabric softener bear .",2
"often hilarious , well-shot and , importantly , entertaining , hell house is a fascinating document of an event that has to be seen to be believed .",4
"the effort is sincere and the results are honest , but the film is so bleak that it 's hardly watchable .",0
"soul is what 's lacking in every character in this movie and , subsequently , the movie itself .",0
gone are the flamboyant mannerisms that are the trademark of several of his performances .,2
"a must for fans of british cinema , if only because so many titans of the industry are along for the ride .",4
"the film would work much better as a video installation in a museum , where viewers would be free to leave .",0
"bears resemblance to , and shares the weaknesses of , too many recent action-fantasy extravaganzas in which special effects overpower cogent story-telling and visual clarity during the big action sequences .",2
"director benoit jacquot , making his first opera-to-film translation with tosca , conveys the heaving passion of puccini 's famous love-jealousy - murder-suicide fandango with great cinematic innovation .",4
the biggest problem with this movie is that it 's not nearly long enough .,2
"despite these annoyances , the capable clayburgh and tambor really do a great job of anchoring the characters in the emotional realities of middle age .",2
"it may sound like a mere disease-of - the-week tv movie , but a song for martin is made infinitely more wrenching by the performances of real-life spouses seldahl and wollter .",2
"you can fire a torpedo through some of clancy 's holes , and the scripters do n't deserve any oscars .",0
a no-holds-barred cinematic treat .,4
"it 's sobering , particularly if anyone still thinks this conflict can be resolved easily , or soon .",2
"ong chooses to present ah na 's life as a slight , weightless fairy tale , whose most unpleasant details seem to melt away in the face of the character 's blank-faced optimism .",2
"it is sentimental but feels free to offend , is analytical and then surrenders to the illogic of its characters , is about grief and yet permits laughter .",4
"with a confrontational stance , todd solondz takes aim on political correctness and suburban families .",2
"a highly spirited , imaginative kid 's movie that broaches neo-augustinian theology : is god stuck in heaven because he 's afraid of his best-known creation ?",4
"the movie certainly has its share of clever moments and biting dialogue , but there 's just not much lurking below its abstract surface .",2
about schmidt is undoubtedly one of the finest films of the year .,4
"it 's a bad sign when you 're rooting for the film to hurry up and get to its subjects ' deaths just so the documentary will be over , but it 's indicative of how uncompelling the movie is unless it happens to cover your particular area of interest .",0
"this heist flick about young brooklyn hoods is off the shelf after two years to capitalize on the popularity of vin diesel , seth green and barry pepper .",2
"insomnia is one of the year 's best films and pacino gives one of his most daring , and complicated , performances .",4
so unremittingly awful that labeling it a dog probably constitutes cruelty to canines .,0
"a loud , brash and mainly unfunny high school comedy .",0
"it arrives with an impeccable pedigree , mongrel pep , and almost indecipherable plot complications .",2
